rowname,Lambia antarctica,Adenocystis utricularis,Ascoseira mirabilis,Cystosphaera jacquinotii,Desmarestia anceps,Desmarestia antarctica,Desmarestia menziesii,Himantothallus grandifolius,Microzonia australe,Austropugetia crassa,Ballia callitricha,Callophyllis atrosanguinea,Curdiea racovitzae,Delisea pulchra,Georgiella confluens,Gymnogongrus antarcticus,Hymenocladiopsis sp.,Iridaea cordata,Meridionella antarctica,Myriogramme manginii,Myriogramme smithii,Pachymenia orbicularis,Palmaria decipiens,Pantoneura plocamioides,Paraglossum salicifolium,Phyllophora antarctica,Picconiella plumosa,Plocamium sp.,Porphyra plocamiestris,Sarcopeltis antarctica,Trematocarpus antarcticus,Benthic diatoms
8:0_mean,0.008,0.025,0.002,0.007,0.002,0.003,0.004,0.006,0.001,0.004,0.003,0.004,0.001,0.014,0.007,0.013,0.011,0.026,0.004,0.014,0.010,0.003,0.007,0.011,0.011,0.008,0.001,0.006,0.010,0.022,0.010,-
9:0_mean,0.157,0.616,0.044,0.120,0.124,0.076,0.046,0.034,0.034,0.318,0.352,0.024,0.124,0.522,0.251,0.318,0.301,0.134,0.319,0.198,0.252,0.915,0.087,0.232,0.213,0.049,0.064,0.041,0.358,0.639,0.258,-
10:0_mean,0.013,0.058,0.005,0.011,0.005,0.005,0.005,0.005,0.004,0.013,0.008,0.006,0.012,0.012,0.018,0.021,0.019,0.021,0.008,0.021,0.020,0.022,0.013,0.066,0.018,0.007,0.007,0.015,0.018,0.038,0.018,-
11:0_mean,0.004,0.015,0.003,0.005,0.023,0.009,0.004,0.006,0.002,0.063,0.005,0.013,0.007,0.012,0.021,0.012,0.013,0.014,0.005,0.015,0.060,0.014,0.008,0.031,0.027,0.005,0.007,0.007,0.007,0.016,0.020,-
11:1_mean,0.023,0.107,0.004,0.018,0.007,0.009,0.002,0.007,0.006,0.021,0.016,0.023,0.004,0.016,0.057,0.037,0.033,0.017,0.017,0.037,0.035,0.013,0.021,0.081,0.012,0.015,0.006,0.033,0.029,0.094,0.062,-
12:0_mean,0.091,0.104,0.031,0.027,0.021,0.022,0.022,0.018,0.019,0.091,0.073,0.063,1.163,1.306,0.149,0.106,0.099,0.821,0.055,0.064,0.098,0.159,0.070,1.862,0.209,0.062,0.102,0.698,0.040,0.169,0.096,-
13:0_mean,0.004,0.015,0.004,0.004,0.006,0.009,0.003,0.001,0.000,0.039,0.033,0.000,0.039,0.114,0.022,0.029,0.019,0.027,0.006,0.004,0.008,0.019,0.007,0.053,0.026,0.005,0.015,0.025,0.000,0.017,0.016,-
13:1_mean,0.010,0.019,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.041,0.000,0.014,0.000,0.000,0.000,0.000,0.008,0.023,0.000,0.000,0.015,0.000,0.021,0.139,0.000,0.005,0.000,0.006,0.000,0.000,0.011,-
14:0_mean, 1.756,10.262, 8.809, 3.070, 3.460, 7.867, 5.138, 4.070, 4.046, 4.280, 4.543, 1.869, 1.898, 5.356, 3.008, 2.710, 2.061, 1.975, 0.863, 2.116, 1.919, 1.104, 7.116, 1.198, 2.874, 1.757, 1.944, 4.460, 0.203, 2.088, 2.365,-
14:1_mean,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.019,0.000,0.000,0.019,0.000,0.000,-
15:0_mean,0.089,0.388,0.277,0.226,0.170,0.149,0.152,0.284,0.286,0.496,0.472,0.554,0.238,0.568,0.290,0.698,0.649,0.279,0.856,0.313,0.271,0.357,0.550,0.322,0.497,0.397,0.430,0.277,0.077,0.456,0.390,-
16:0_mean,16.705,17.967, 9.497,17.578,11.735, 9.533,12.490,14.411,11.576,22.493,25.024,26.867,22.823,26.362,25.717,31.874,31.172,28.894,39.173,27.796,27.403,29.280,14.346,28.083,30.877,24.969,30.262,22.202,21.845,32.621,30.546,-
16:1w7c_mean,5.702,0.477,0.639,0.148,6.641,1.350,2.075,3.013,5.092,3.731,3.773,1.855,0.287,2.371,5.779,3.611,1.151,0.976,3.443,1.313,0.904,2.517,3.693,7.310,9.367,3.333,4.544,3.837,0.190,1.749,0.761,-
16:2w6_mean,1.291,0.385,0.431,0.310,0.950,0.528,0.673,0.384,0.776,0.116,0.467,0.201,0.021,0.163,0.345,0.085,0.086,0.057,0.255,0.055,0.075,0.042,1.034,0.194,0.139,0.218,0.566,0.519,0.014,0.040,0.057,-
17:0_mean,0.037,0.104,0.125,0.178,0.099,0.057,0.106,0.128,0.211,0.115,0.268,0.174,0.100,0.148,0.068,0.130,0.246,0.108,0.198,0.126,0.097,0.199,0.071,0.124,0.153,0.189,0.097,0.100,0.038,0.191,0.159,-
16:3w4_mean,3.501,0.035,0.043,0.013,0.739,0.066,0.434,0.095,1.427,0.020,0.664,0.343,0.013,0.109,0.347,0.051,0.118,0.076,0.238,0.078,0.143,0.000,0.768,0.249,0.232,0.246,1.346,0.722,0.007,0.046,0.119,-
16:3w3_mean,11.434, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-
16:4w3_mean,0.162,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,-
16:4w1_mean,1.183,0.000,0.119,0.027,2.182,0.105,0.875,0.267,0.618,0.000,0.718,0.153,0.030,0.065,0.169,0.051,0.105,0.108,0.272,0.007,0.119,0.000,2.418,0.138,0.139,0.295,0.324,0.938,0.000,0.067,0.117,-
18:0_mean,1.123,3.583,0.619,1.426,1.443,1.163,1.995,1.291,1.529,0.838,3.242,0.973,0.816,1.627,2.100,2.064,1.795,1.681,1.979,2.374,1.453,2.809,1.322,2.633,1.711,0.889,1.601,1.398,1.538,3.472,1.721,-
18:1w9c_mean, 1.228, 5.738,26.013, 8.043, 6.401,10.348,10.602, 9.306, 3.689, 1.790, 2.367, 1.120, 1.448, 4.159, 2.345, 4.684, 2.945, 2.987, 5.502, 1.915, 1.307, 4.364, 3.096, 5.308, 4.356, 2.008, 4.965, 0.636, 1.200, 4.678, 1.362,-
18:1w7c_mean, 5.964, 0.133, 0.000, 0.014, 0.231, 0.023, 0.090, 0.042, 0.596, 0.240, 1.320, 0.292, 1.507, 1.455, 1.457, 0.501, 1.397, 0.903, 2.785,11.084, 7.245, 0.302, 1.868, 5.600, 2.103, 0.500,10.859, 0.382, 0.928, 0.442, 0.156,-
18:2w6c_mean, 5.147,14.935, 5.701, 6.317, 2.396, 4.824, 5.843, 3.633, 4.064, 0.165, 0.619, 0.389, 0.977, 2.863, 1.963, 1.108, 4.214, 1.196, 0.468, 2.215, 1.556, 0.507, 0.219, 1.566, 0.331, 1.590, 0.770, 0.630, 2.944, 0.352, 0.373,-
18:3w6_mean,0.376,0.203,0.608,0.468,0.406,0.684,0.610,0.449,0.575,0.000,0.146,0.195,0.546,0.248,0.152,0.029,0.390,0.272,1.655,0.658,0.429,0.000,0.165,0.065,0.276,0.130,0.290,0.336,0.185,0.086,0.131,-
18:3w3_mean,25.857, 7.797, 6.856,11.352, 7.699, 6.097, 7.849, 7.302,11.841, 0.048, 0.453, 0.084, 0.013, 0.000, 0.287, 0.000, 0.035, 0.156, 0.111, 0.143, 0.304, 0.000, 0.277, 0.122, 0.162, 0.083, 0.159, 0.406, 0.147, 0.000, 0.015,-
18:4w3c_mean, 0.981,11.041,10.189, 9.055,11.361,14.339,10.201,10.607,16.592, 0.014, 0.699, 0.127, 0.003, 0.000, 0.234, 0.099, 0.007, 0.051, 0.503, 0.061, 0.653, 0.000, 1.154, 0.103, 0.146, 0.161, 0.194, 0.864, 0.084, 0.000, 0.025,-
20:0_mean,0.006,0.000,0.000,0.000,0.000,0.066,0.571,0.893,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.245,0.000,0.000,0.003,-
20:1w9_mean,0.309,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.403,0.042,0.684,0.033,0.100,0.000,0.040,0.000,0.000,0.012,0.041,0.000,0.000,0.000,0.323,0.000,0.000,0.007,0.141,0.022,2.867,0.000,0.000,-
20:2w6_mean,0.096,0.096,0.128,0.041,0.094,0.018,0.205,0.173,0.296,0.000,0.212,0.009,0.647,0.184,0.123,0.024,0.081,0.145,0.019,0.207,0.221,0.000,0.000,0.192,0.000,0.034,0.040,0.142,3.648,0.000,0.004,-
20:3w6_mean,0.042,0.000,0.804,0.192,0.241,0.618,0.502,0.413,1.051,0.027,0.141,0.077,2.102,0.736,0.138,0.103,0.437,0.668,0.537,0.254,0.393,0.014,0.046,0.074,0.050,0.090,0.510,4.855,1.507,0.000,0.052,-
20:4w6_mean, 2.319, 9.688,10.705,24.010,20.082,21.318,20.991,21.145,13.959,46.777, 8.559,37.640,21.871,11.326,28.599,29.949,14.450,11.753,11.611, 4.628,17.805,13.454, 0.620,12.202,36.987,39.677, 8.866,12.785, 5.361,24.830,47.174,-
20:3w3_mean,0.162,0.000,0.059,0.028,0.000,0.020,0.117,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.166,0.000,0.000,-
20:5w3_mean,13.504,16.016,18.121,16.793,18.290,20.682,18.249,14.270,19.509,18.174,41.857,26.369,43.131,40.193,25.956,21.661,38.045,46.340,28.918,43.251,37.046,43.896,59.901,31.523, 8.437,22.798,31.491,42.556,56.349,27.889,13.924,-
22:0_mean,0.000,0.194,0.136,0.173,0.017,0.002,0.019,0.010,0.037,0.026,0.000,0.004,0.044,0.000,0.000,0.000,0.001,0.011,0.000,0.044,0.033,0.009,0.047,0.000,0.000,0.002,0.010,0.447,0.000,0.000,0.000,-
22:1w9c_mean,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.020,0.000,0.000,0.000,-
22:2w6_mean,0.000,0.000,0.002,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,-
23:0_mean,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-
22:4w6_mean,0.033,0.000,0.000,0.000,1.046,0.000,0.000,1.383,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.001,0.000,0.000,0.000,-
22:5w6_mean,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.002,0.000,0.000,0.000,-
22:3w6_mean,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,-
22:5w3_mean,0.183,0.000,0.007,0.291,4.103,0.001,0.017,6.100,0.186,0.000,0.352,0.052,0.034,0.000,0.102,0.000,0.020,0.026,0.016,0.009,0.046,0.000,0.075,0.164,0.170,0.100,0.139,0.026,0.085,0.000,0.002,-
22:6w3_mean,0.366,0.000,0.000,0.000,0.025,0.000,0.051,0.000,1.533,0.000,2.931,0.295,0.000,0.070,0.257,0.035,0.092,0.054,0.053,0.090,0.059,0.000,0.058,0.354,0.383,0.213,0.248,0.357,0.000,0.000,0.022,-
24:0_mean,0.092,0.000,0.000,0.055,0.000,0.004,0.026,0.016,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.111,0.022,0.000,0.034,0.000,0.000,0.008,0.000,0.004,0.000,0.000,0.002,-
24:1w9_mean,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.084,0.000,0.795,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.030,-
CN ratio_mean,11.426384,-,-,22.150001,12.463179,12.347885,14.413577,18.767447,-,-, 9.360945, 6.206193,-, 7.456401, 7.832720, 6.927953, 6.624358,12.586461,11.470404, 7.605924, 5.269527, 9.389752, 8.806368, 7.680537,-, 7.070308, 9.102782, 7.555736, 7.491998,14.418820, 6.403830, 6.518280
d15N_mean,2.158333,-,-,1.254750,2.604000,2.815200,4.778429,2.330000,-,-,2.326000,3.515000,-,2.203000,2.217500,2.294000,1.568333,4.385167,1.393750,3.085167,4.487667,3.159000,3.264000,2.536000,-,2.367800,2.707000,2.964333,6.132333,2.295143,3.723800,1.381875
d13C_mean,-31.02333,-,-,-28.27975,-31.53900,-25.71680,-27.62343,-22.85100,-,-,-33.23300,-22.66367,-,-34.88700,-36.07500,-35.31800,-33.55933,-20.00417,-33.46075,-34.35317,-37.27633,-33.98133,-23.69733,-33.72300,-,-35.44280,-34.76750,-33.53900,-29.48467,-24.89586,-22.56060,-21.94312
